,journal
10.1103/PhysRevC.1.683,PRC
10.1103/PhysRevC.1.945,PRC
10.1103/PhysRevC.1.809,PRC
10.1103/PhysRevC.1.1781,PRC
10.1103/PhysRevC.1.303,PRC
10.1103/PhysRevC.1.1767,PRC
10.1103/PhysRevC.1.795,PRC
10.1103/PhysRevC.1.1861,PRC
10.1103/PhysRevC.1.365,PRC
10.1103/PhysRevC.1.2144,PRC
10.1103/PhysRevC.1.1900,PRC
10.1103/PhysRevC.1.2060,PRC
10.1103/PhysRevC.1.328,PRC
10.1103/PhysRevC.1.1757,PRC
10.1103/PhysRevC.1.2115,PRC
10.1103/PhysRevC.1.747,PRC
10.1103/PhysRevC.1.1400,PRC
10.1103/PhysRevC.1.1176,PRC
10.1103/PhysRevC.1.973,PRC
10.1103/PhysRevC.1.1714,PRC
